run_id,total_violations,final10_nav_reward,final10_safe_reward,final_h_value,mean_h,mean_m_dir,mean_grad_dot,mean_stability_grad_norm,runtime_sec
70,6235,-126.37450726931434,-3.212410980463028,0.4195053057745099,0.6656609932255745,-0.9330196081981582,-7.507177999379443,5.305861749470013,916.8841111660004
71,7198,-196.18335869034667,-5.2840778768062595,0.13382108118385078,0.6075067717814445,-0.602191090922465,-37.2670303355947,5.812681244377068,983.9195742607117
72,14474,-630.0768137802254,-27.3603196978569,-1.1021378740668297,0.23750182539939882,0.3003963765705154,-142.0173446660732,7.811148818420752,875.349677324295
73,8528,-652.5384531140403,-10.809421724081039,-0.289894057624042,0.5613262511694431,-1.7546007248008355,-60.74441823282299,8.946887976528899,867.5256865024567
74,12969,-135.71572547655046,-5.437674283981323,-0.9802373334765434,0.281763390699625,-0.010874487963682612,-33.73559331819238,6.618145605046041,868.4060187339783
75,5850,-131.9061725456651,-5.678379911184311,0.45011630598455665,0.6909670008456706,0.8516771302471406,-10.725638402046783,6.032082495842522,896.8534250259399
76,9317,-123.83927030790474,-3.58740194439888,-0.3996553663164377,0.5106597762906552,0.2122644439192854,-72.05147097464152,7.036173380581099,866.075576543808
77,5380,-134.27014231383288,-2.28304061293602,0.6083120409399271,0.7092553639304637,0.2547273244950135,-6.869014746908874,5.439906247306595,867.5021417140961
78,7707,-192.92226933463058,-9.842804723978043,0.012453601509332658,0.6106348460900783,0.4510007734230197,-28.331222880201828,5.728228926982079,863.9219992160797
79,5503,-160.1616458189399,-5.743305349349976,0.6787538824602961,0.7117434708666802,0.5255502006976454,-10.522143999113633,5.562247246909024,891.3908944129944
80,9423,-170.37854185384347,-5.683382648229599,-0.3294728508219123,0.5316705741226673,-0.17423284389276628,-31.715780197066476,7.889203720366797,864.4392056465149
81,7508,-167.88351319072362,-3.9564790785312653,0.0029801134020090102,0.5802881851375103,0.5901192261056879,-38.34211747738329,5.839397992539843,866.7104363441467
